"nuts2","year","TED","ted_im"
"FRI3",2015,NA,19.3837730773124
"FRI3",2016,18.6255390983911,18.6255390983911
"FRI3",2017,18.7034397791428,18.7034397791428
"FRI3",2018,18.9795137837918,18.9795137837918
"FRI3",2019,19.5763901319918,19.5763901319918
"FRI3",2020,18.8922560077832,18.8922560077832
"FRJ1",2009,20.433487424081,20.433487424081
"FRJ1",2010,20.1410252509771,20.1410252509771
"FRJ1",2011,20.0963091802159,20.0963091802159
"FRJ1",2012,20.447624446203,20.447624446203
"FRJ1",2013,20.1860248059946,20.1860248059946
"FRJ1",2014,20.6813012930172,20.6813012930172
"FRJ1",2015,NA,20.3853608385276
"FRJ1",2016,19.9058853019411,19.9058853019411
"FRJ1",2017,19.6932342666458,19.6932342666458
"FRJ1",2018,20.4878340026441,20.4878340026441
"FRJ1",2019,20.5476833439747,20.5476833439747
"FRJ1",2020,23.2812373068323,23.2812373068323
"FRJ2",2009,19.7324539334134,19.7324539334134
"FRJ2",2010,20.0453454052426,20.0453454052426
"FRJ2",2011,19.9872261899595,19.9872261899595
"FRJ2",2012,20.1126076757243,20.1126076757243
"FRJ2",2013,20.064572484011,20.064572484011
"FRJ2",2014,20.4074069159992,20.4074069159992
"FRJ2",2015,NA,20.5411660860369
"FRJ2",2016,19.8751883062019,19.8751883062019
"FRJ2",2017,20.3196830072153,20.3196830072153
"FRJ2",2018,20.6623281998239,20.6623281998239
"FRJ2",2019,20.9867908310373,20.9867908310373
"FRJ2",2020,22.4191444066773,22.4191444066773
"FRK1",2009,19.1535577145063,19.1535577145063
"FRK1",2010,18.9587711831519,18.9587711831519
"FRK1",2011,19.0423673850141,19.0423673850141
"FRK1",2012,19.3663638274392,19.3663638274392
"FRK1",2013,19.0274967282927,19.0274967282927
"FRK1",2014,19.8440928732494,19.8440928732494
"FRK1",2015,NA,19.3013027702013
"FRK1",2016,19.0320051423083,19.0320051423083
"FRK1",2017,18.5020233342892,18.5020233342892
"FRK1",2018,18.7825940782752,18.7825940782752
"FRK1",2019,18.8208543442944,18.8208543442944
"FRK1",2020,18.9481464622991,18.9481464622991
"FRK2",2009,21.6822791308645,21.6822791308645
"FRK2",2010,21.2080296191299,21.2080296191299
"FRK2",2011,21.5048890099018,21.5048890099018
"FRK2",2012,21.2455946543251,21.2455946543251
"FRK2",2013,21.5061361002746,21.5061361002746
"FRK2",2014,21.7023547006401,21.7023547006401
"FRK2",2015,NA,21.9514051582372
"FRK2",2016,21.056417006295,21.056417006295
"FRK2",2017,21.451547917577,21.451547917577
"FRK2",2018,21.3596803849675,21.3596803849675
