"nuts2","year","flow_in","flow_out"
"DE13",2020,121,120
"DE92",2001,6,10
"ITH5",2004,11,11
"ITH3",2004,11,9
"UKH3",2014,22,24
"FRF3",1985,6,3
"UKM5",2018,35,47
"ES30",1992,100,67
"ES11",1992,56,36
"UKE4",2014,2600,2448
"ITF6",2009,2,7
"CH03",2009,20,16
"SE11",2019,570,434
"SE32",2019,9,7
"UKG1",2014,61,66
"FRF3",2018,30,30
"FRG0",2017,234,232
"DE12",2020,95,88
"AT22",2001,50,31
"UKG3",2014,387,350
"ES41",2006,127,120
"DED2",2015,68,73
"ES13",2004,10,6
"ES30",2004,67,48
"PL81",2019,57,43
"ES51",2011,2067,2070
"ES11",2011,111,135
"SE21",2016,594,326
"NL22",2023,4,5
"UKI0",2023,19,6
"FRJ1",2020,57,66
"UKK2",2000,981,873
"EL30",2000,78,49
"UKK4",2003,61,48
"UKJ1",1998,222,280
"ES30",2009,196,180
"ES23",2019,1017,704
"IE05",2019,60,39
"PL92",2002,0,2
"PL81",2002,2,7
"FRH0",2007,44,27
"FR10",2007,955,1675
"CH07",2020,110,111
"DEA5",2007,2130,1705
"AT22",2007,9,8
"UKL2",1992,5,4
"UKJ2",1992,21,40
"ITI1",2015,287,435
"PT15",2020,38,30
"UKE3",2019,363,385
"PL42",2014,10,6
"DE30",2009,62,60
"DED2",2009,42,80
"PL41",2018,39,35
"UKD7",2013,331,266
"AT33",2019,86,75
"IE06",2004,48,31
"IE05",2004,28,27
"UKM8",2019,1338,1275
"ITC1",2018,506,628
"UKJ2",2020,116,77
"DE11",1988,3,4
"DE23",1988,1,0
"UKF1",2019,435,456
"UKM5",1996,72,13
"UKM6",1996,1,0
"ITI4",2010,115,207
"ES42",2019,45,24
"NL32",2018,188,181
"NL21",2018,122,129
"UKJ1",1999,23,29
"ES53",2020,72,67
"ITH4",2018,90,118
"ITI4",2000,34,41
"CH01",2000,209,208
"ITI4",2014,1050,1388
"UKC1",2021,426,510
"FR10",1994,460,647
"NL42",2019,115,106
"UKH3",2018,43,74
"SE33",2018,42,35
"UKH1",2009,62,95
"CH04",2017,91,92
"ITH2",2018,21,35
"ES23",2002,6,1
"UKF1",2009,252,310
"DE60",2020,1089,1280
"DEB3",2009,210,363
"NL42",2016,30,32
"NL11",2016,48,49
"DK01",2018,213,194
"NL32",2017,166,196
"NL22",2017,730,730
"FRC2",2018,140,262
"FRF1",2018,96,92
"DEA2",2015,2592,2331
"EL43",2013,36,28
"FRK2",1999,41,66
"LV00",2007,8,5
"DK01",2007,19,17
"PL71",2019,44,70
"PL91",2019,781,774
"NL31",1998,56,9
"NL21",1998,7,12
"SE11",2008,182,148
"NL22",2016,270,342
"DE24",2019,196,198
"ITH4",2019,202,265
"UKK1",2000,18,63
"UKJ1",2000,253,250
"DEA1",2018,48,58
"UKF3",2009,3,1
"UKJ2",2009,39,42
"UKC2",2009,15,26
"EL43",2019,288,281
"EL30",2019,109,116
"PT16",2008,107,57
"ITH3",2021,72,87
"SE21",2018,3440,2329
