"sender","year","count"
"SE21","2016","146"
"NL22","2023","3"
"FRJ1","2020","456"
"UKK2","2000","145"
"CH03","2009","31"
"ES52","2015","564"
"PL92","2002","72"
"FRH0","2007","60"
"CH07","2020","133"
"DEA5","2007","89"
"UKL2","1992","4"
"ITI1","2015","125"
"UKH1","2019","1124"
"PL41","2014","44"
"DE30","2009","1133"
"PL61","2018","831"
"AT33","2019","42"
"IE06","2004","148"
"ITC1","2018","58"
"UKE4","2018","323"
"UKD3","2014","70"
"DE11","1988","2"
"UKF1","2019","1639"
"UKM5","1996","4"
"ITI4","2010","125"
"NL32","2018","2469"
"UKJ1","1999","29"
"ES53","2020","167"
"ITI4","2000","81"
"ITI4","2014","2180"
"FR10","1994","135"
"AT13","2019","467"
"SE33","2018","69"
"NL33","2017","585"
"ES30","2011","54"
"UKH1","2009","95"
"CH04","2017","412"
"ITH2","2018","95"
"ES23","2002","1"
"DEB3","2009","15"
"NL42","2016","32"
"NL32","2017","108"
"FRC2","2018","1692"
"EL43","2013","10"
"ITC3","2018","35"
"LV00","2007","3"
"UKF1","2016","77"
"PL71","2019","43"
"NL31","1998","5"
"SE11","2008","22"
"NL22","2016","70"
"UKH1","2012","67"
"DE24","2019","30"
"UKK1","2000","43"
"DEA1","2018","58"
"UKF3","2009","1"
"UKC2","2009","26"
"EL43","2019","26"
"ITH3","2021","45"
"SE21","2018","61"
"UKI5","2001","181"
"BE23","2018","73"
"UKC2","2016","319"
"ITF4","2013","121"
"BE10","2015","362"
"ITF3","1992","13"
"UKM7","2002","22"
"FRK2","2019","484"
"DE14","2015","132"
"UKK4","2021","38"
"CY00","2016","204"
"NL32","2010","61"
"DEE0","2014","19"
"NL23","2018","33"
"NL32","2014","345"
"UKM7","2013","148"
"SE11","2005","20"
"UKH1","2004","36"
"PL91","2017","61"
"PL91","2014","70"
"ES52","2019","477"
"PL71","2020","23"
"UKH3","2014","24"
"SE12","2007","22"
"UKE4","2016","140"
"CH01","2012","180"
"NL22","2011","27"
"PL41","2004","7"
"ITF1","2018","3621"
"DE91","2018","345"
"DE25","2020","54"
"BE23","1995","7"
"DEA5","2009","146"
"NO08","2021","121"
"FRG0","2013","37"
"UKH1","2021","119"
"FRK2","2016","161"
"DE72","2020","485"
"PT15","2010","10"
"EL54","2014","17"
"ES41","2020","55"
"UKH1","2013","268"
"UKG3","1988","21"
"LT01","2021","8"
"BG32","2020","33"
"ES51","1998","15"
"FR10","1986","97"
"DE25","1983","1"
"EL53","2017","7"
"ITI4","2017","175"
"UKM8","2020","80"
"ES22","2019","25"
"UKG3","2009","26"
"NL33","2003","21"
"ITI1","2006","29"
"DE71","2016","47"
"FRF1","1997","144"
"UKJ3","2012","68"
"UKG3","2014","53"
"UKM7","2016","108"
"ES22","2017","40"
"ES41","1996","16"
"DED2","2016","40"
"FRE1","2017","67"
"CH03","2016","82"
"DEE0","2019","681"
"NL31","2010","353"
"BE24","2020","453"
"PL22","2001","38"
"SK01","2014","132"
"IE05","2016","754"
"BE33","2014","16"
"DEA1","2020","101"
"ES52","2012","32"
"ES61","1997","12"
"FRK2","2012","281"
"DE12","2005","41"
"RO21","2014","49"
"HU31","2020","2"
"EL30","2017","599"
"HU23","2017","7"
"DEE0","2018","40"
"DE11","1983","3"
"UKM8","2007","145"
"DEF0","2019","5983"
"UKE3","2020","199"
"FI1B","2019","55"
"SE23","2010","8"
"UKH1","2000","1158"
"RO12","2017","8"
"NL33","1976","3"
"EL30","2019","119"
"DK01","2016","1540"
"FRH0","2017","47"
"SE12","2014","193"
"PL91","2000","564"
"ES53","2018","28"
"UKI5","2011","958"
"HR05","2020","41"
"UKH1","2011","60"
"FRG0","2011","47"
"UKH3","2008","25"
"UKJ1","2001","154"
"PL63","2021","113"
"ES62","2020","3812"
"BE23","2020","4651"
"UKM5","2003","22"
"DE12","2017","455"
"UKH3","2018","39"
"SE23","2019","442"
"DE11","2007","13"
"UKJ3","2018","214"
"IE06","2019","189"
"BE24","2013","654"
"UKN0","2017","680"
"ES30","2013","83"
"CZ01","2015","93"
"UKE4","2011","1332"
"DE12","2020","93"
"DE30","1987","14"
"ES30","2010","241"
"DE71","2019","174"
"NO08","1992","5"
"NL32","1998","85"
"UKD3","2017","116"
"UKK1","2020","88"
"UKI5","1979","37"
"DE30","2016","92"
"CH03","2013","1186"
"DE26","2015","61"
"CH01","2013","103"
"UKJ1","2017","1066"
"UKD3","1965","2"
"UKG3","2011","28"
"ES41","1979","2"
"NO08","2019","58"
"UKH1","1993","15"
"FR10","1985","32"
"ITH3","2023","1"
"ES12","2007","41"
"CH05","2018","21"
"UKE3","2010","53"
"ITH1","2020","267"
"DEA2","2007","191"
"SI04","2021","21"
"ES51","2010","847"
"FRB0","2021","67"
"DE60","2020","80"
"AT31","2019","24"
"UKD3","2001","51"
"PT18","2002","4"
"DE80","2004","3"
"FRC1","2010","61"
"FRL0","2015","163"
"FRL0","2014","431"
"DE72","2019","794"
"PL51","2019","42"
"DEA1","2014","20"
"DEB3","2015","108"
"ITF3","2011","37"
"DED2","1992","12"
"DK01","2018","486"
"ITF1","2019","51"
"DE60","1989","22"
"UKJ1","2010","66"
"CH04","2007","135"
"DE40","2006","21"
"FR10","1997","81"
"UKL1","2000","30"
"BE32","2016","6"
"CH03","2015","253"
"EL30","2004","232"
"IE06","2021","385"
"FR10","2011","1063"
"ITG1","2018","458"
"ITF6","2014","131"
"DK04","2018","201"
"UKE3","1985","14"
"FRJ1","2014","112"
"SE22","2020","55"
"EL30","2018","55"
"NL41","2003","16"
"UKJ1","2013","172"
"NL33","2012","54"
"DE91","2014","110"
"FRI1","2013","45"
"AT13","2016","87"
"CZ05","2019","65"
"PL81","2005","14"
"ES52","2017","203"
"UKE4","2010","72"
"ES12","2003","6"
"NO06","2015","43"
"ES61","2020","364"
"DE94","2019","57"
"PT11","2017","267"
"HU11","2014","65"
"ITC4","2009","59"
"NO06","2004","6"
"DE60","2017","59"
"FR10","2003","303"
"DE30","2012","102"
"CH05","2015","49"
"ES61","1991","14"
"PL61","2015","11"
"IE04","2020","204"
"PT17","2014","13"
"NL33","2013","916"
"ITC4","2010","1983"
"DE26","2012","101"
"ITC4","2008","21"
"UKN0","2020","534"
"DEG0","2012","366"
"SE21","2012","20"
"UKG1","2002","33"
"ITH5","2021","341"
"ITH4","2020","49"
"ITI4","2012","232"
"UKG1","2013","55"
"DEB3","2001","92"
"FRL0","2001","9"
"ES30","2015","354"
"CH01","2015","647"
"ITH3","1993","27"
"UKF1","2015","153"
"BE31","2007","55"
"UKF1","2013","202"
"NL41","2019","106"
"BE10","2016","193"
"DE12","2015","56"
"SE23","2017","62"
"UKF1","2006","56"
"PL41","2018","139"
"BE24","2015","3967"
"NL12","2009","1"
"UKM8","2019","3367"
"UKJ2","2017","483"
"PL72","2011","6"
"UKI5","2009","535"
"DE30","2003","15"
"NO09","2016","64"
"FRK2","2007","185"
"FRG0","2019","87"
"BE21","2020","99"
"UKF1","2011","72"
"EE00","2016","22"
"ITH3","1991","6"
"UKF1","2021","2810"
"UKC2","2019","1576"
"PT11","2005","127"
"PT16","2004","28"
"PL81","2008","74"
"ES61","2013","46"
"SE21","2009","18"
"UKG2","2008","127"
"AT22","2016","58"
"ES61","1998","146"
"ITC3","2020","154"
"PT16","2008","130"
"ES11","2018","46"
"FRE2","2013","44"
"ES11","2020","1552"
"SE33","2019","3425"
"ES30","1997","41"
"ES62","1995","5"
"UKM7","2014","79"
"BE33","2017","31"
"SK01","2009","17"
"DK01","2004","782"
"FR10","1990","137"
"DE21","2019","5368"
"CZ06","2017","6207"
"UKG1","2010","48"
"DE60","2003","49"
"UKK1","2019","200"
"DE94","2000","1"
"FRL0","2012","42"
"UKJ2","2008","89"
"UKE3","2019","2661"
"CZ01","2019","95"
"UKE3","1997","25"
"UKJ2","2002","77"
"SE21","2013","262"
"ES30","2000","31"
"UKH1","2001","56"
"FRI1","2020","153"
"IE06","2017","727"
"DE21","2020","227"
"CH02","2020","125"
"PT16","2009","51"
"FRG0","2014","109"
"EL51","2019","8"
"PL91","2016","361"
"DE80","2012","29"
"FRJ1","2002","5"
"UKK1","2021","53"
"DE13","2017","345"
"UKC2","2006","17"
"EL43","2009","29"
"UKG3","1994","6"
"UKJ3","2016","59"
"UKK2","2013","64"
