country;year;edu_index
AT;2018;0.921
BE;2018;0.93
BG;2018;0.814
HR;2018;0.848
CY;2018;0.885
CZ;2018;0.898
DK;2018;0.938
EE;2018;0.89
FI;2018;0.936
FR;2018;0.898
DE;2018;0.946
GR;2018;0.88
HU;2018;0.85
IS;2018;0.946
IE;2018;0.95
IT;2018;0.89
LV;2018;0.864
LT;2018;0.877
LU;2018;0.913
NL;2018;0.941
NO;2018;0.955
PL;2018;0.876
PT;2018;0.86
RO;2018;0.824
SK;2018;0.858
SI;2018;0.912
ES;2018;0.906
SE;2018;0.943
CH;2018;0.954
GB;2018;0.929
AT;2019;0.921
BE;2019;0.932
BG;2019;0.816
HR;2019;0.85
CY;2019;0.887
CZ;2019;0.9
DK;2019;0.94
EE;2019;0.892
FI;2019;0.938
FR;2019;0.901
DE;2019;0.948
GR;2019;0.889
HU;2019;0.855
IS;2019;0.949
IE;2019;0.956
IT;2019;0.892
LV;2019;0.866
LT;2019;0.882
LU;2019;0.917
NL;2019;0.944
NO;2019;0.957
PL;2019;0.881
PT;2019;0.864
RO;2019;0.828
SK;2019;0.86
SI;2019;0.917
ES;2019;0.904
SE;2019;0.945
CH;2019;0.956
GB;2019;0.932
AT;2020;
BE;2020;
BG;2020;
HR;2020;
CY;2020;
CZ;2020;
DK;2020;
EE;2020;
FI;2020;
FR;2020;
DE;2020;
GR;2020;
HU;2020;
IS;2020;
IE;2020;
IT;2020;
LV;2020;
LT;2020;
LU;2020;
NL;2020;
NO;2020;
PL;2020;
PT;2020;
RO;2020;
SK;2020;
SI;2020;
ES;2020;
SE;2020;
CH;2020;
GB;2020;
MT;2009;0.769887017
MT;2010;0.780146508
MT;2011;0.779897941
MT;2012;0.790826168
MT;2013;0.789521874
MT;2014;0.790629711
MT;2015;0.791056647
MT;2016;0.793273167
MT;2017;0.801735896
MT;2018;0.808144126
MT;2019;0.827904202
MT;2020;0.824691594
