"year","country","ted_im"
2015,"HU",23.0010944901595
2016,"HU",22.7362670964964
2017,"HU",23.1903399000839
2018,"HU",22.8323353731912
2019,"HU",24.1156698424347
2020,"HU",23.1233022348922
2009,"IE",20.9840969654799
2010,"IE",20.9069334259897
2011,"IE",20.9910612072162
2012,"IE",20.5758680417243
2013,"IE",20.6231795979901
2014,"IE",20.4540001805316
2015,"IE",20.7845530827904
2016,"IE",20.7560848201263
2017,"IE",20.5173233510386
2018,"IE",20.6981612411423
2019,"IE",20.8291880153755
2020,"IE",20.5266905534418
2009,"IS",18.587955046435
2010,"IS",16.4428796013493
2011,"IS",18.3642945610065
2012,"IS",17.9998363385366
2013,"IS",18.5229925792232
2014,"IS",17.1361640920977
2015,"IS",18.689345265215
2016,"IS",18.8734661575962
2017,"IS",18.5221590786077
2018,"IS",19.6364464823663
2019,"IS",20.5446104509241
2020,"IS",19.0375649309363
2009,"IT",24.1318407605465
2010,"IT",24.5498176028041
2011,"IT",24.3582134768301
2012,"IT",24.1288143363614
2013,"IT",24.3180433232609
2014,"IT",24.1650315953088
2015,"IT",24.4358063337665
2016,"IT",24.4906381404983
2017,"IT",24.3438726196301
2018,"IT",24.5374595969276
2019,"IT",24.6793077207112
2020,"IT",24.6507549292771
2009,"LT",20.2484850604329
2010,"LT",19.8951617123172
2011,"LT",20.1056038922056
2012,"LT",19.9606014886659
2013,"LT",20.6817927506373
2014,"LT",20.415028073008
2015,"LT",18.4105808471768
2016,"LT",20.6319846781005
2017,"LT",21.185064519956
2018,"LT",16.7723863614452
2019,"LT",14.9379202485587
2020,"LT",14.7859353335112
2009,"LU",21.3838333136674
2010,"LU",21.6329780843171
2011,"LU",20.8032516577234
2012,"LU",15.2981677264998
2013,"LU",19.0084674088545
2014,"LU",16.4269182788106
2015,"LU",17.7941387043864
2016,"LU",18.3989212559906
2017,"LU",15.0764103156786
2018,"LU",16.1992123102334
2019,"LU",15.9465641607723
2020,"LU",15.5813011529883
2009,"LV",14.5068069418562
2010,"LV",12.704735886459
2011,"LV",13.2469350336999
2012,"LV",13.4843359003596
2013,"LV",14.8691972807739
2014,"LV",13.3571738052658
2015,"LV",15.1525134736315
2016,"LV",16.5118820941641
2017,"LV",14.5931826935939
2018,"LV",14.6369831331793
2019,"LV",15.0926717059869
2020,"LV",14.843406259376
2009,"MT",12.3893260596768
2010,"MT",15.7916286494256
2011,"MT",18.0008743141375
2012,"MT",17.0777585663109
2013,"MT",17.111251322314
2014,"MT",18.3107487217523
2015,"MT",19.386046143147
2016,"MT",18.032371071536
2017,"MT",16.582843117627
2018,"MT",20.9726383769603
2019,"MT",21.4338326188414
2020,"MT",22.5116137309123
2009,"NL",21.2172404897985
2010,"NL",21.7359930493682
2011,"NL",21.8257423934517
2012,"NL",22.0314315452667
2013,"NL",21.8296057754383
2014,"NL",22.2636965801563
2015,"NL",22.7257663768372
2016,"NL",22.8132828360285
2017,"NL",23.094422140359
2018,"NL",23.2525022340684
2019,"NL",27.7350226043696
2020,"NL",23.4997897211768
2009,"NO",22.8115091611142
2010,"NO",22.2167077241781
2011,"NO",22.3453802113979
2012,"NO",22.3450246867665
2013,"NO",22.7690453076305
2014,"NO",22.8746960488373
2015,"NO",23.3610494012244
2016,"NO",23.1317459525549
2017,"NO",23.0110499589327
2018,"NO",23.2546033063376
2019,"NO",23.3717739937707
2020,"NO",23.3730670105767
2009,"PL",23.9419161119618
