"year","country","ted","score","flow_in","flow_out","gdp","edu_index","r3score"
"2010","RO",22.631014349409,0,70,76,16976.2590867185,0.805,0
"2010","SE",22.5333945554004,0.08,727,630,42223.9196702844,0.911,0.430886938006377
"2010","SI",20.9002097500742,0,12,12,27826.8723437553,0.889,0
"2010","SK",22.7453068340819,0,32,29,25302.2327160354,0.831,0
"2010","UK",25.1769577091238,1.36,3518,4693,36576.5865398028,0.913,1.10793165135089
"2011","AT",21.7032118932885,0.032,152,129,44452.7327457999,0.906,0.31748021039364
"2011","BE",22.2152899122287,0.064,1028,1057,40942.372710454,0.911,0.4
"2011","BG",20.6592626167871,0,154,244,15747.0853813627,0.791,0
"2011","CH",21.434734379991,0.196,243,188,57987.5020305492,0.941,0.58087857335637
"2011","CY",19.8778907082287,0,32,24,33313.578125,0.859,0
"2011","CZ",21.3676310774218,0.004,266,146,29001.3680365492,0.874,0.15874010519682
"2011","DE",23.4871481396023,0.296,2970,2955,42541.5310884096,0.933,0.666444370329191
"2011","DK",22.5566716977301,0.056,146,208,44403.3848413929,0.929,0.382586236554478
"2011","EE",21.5032421035516,0,65,16,24557.2361475947,0.86,0
"2011","EL",20.269142262632,0.012,245,946,25671.5160853562,0.863,0.228942848510666
"2011","ES",23.9988542855069,0.064,3437,3361,31867.9732396862,0.878,0.4
"2011","FI",22.0415609675599,0.052,234,179,40916.8385790274,0.92,0.373251115681725
"2011","FR",24.7961274106735,0.188,1693,1688,37440.6334729758,0.882,0.572865431598244
"2011","HR",18.1829718073334,0,100,51,21014.7388041606,0.823,0
"2011","HU",22.1679847824731,0,252,276,23038.8080197669,0.827,0
"2011","IE",20.9910612072162,0.052,113,111,45080.1886960425,0.902,0.373251115681725
"2011","IS",18.3642945610065,0,1100,301,40936.867830513,0.907,0
"2011","IT",24.3582134768301,0.068,2512,3746,36598.0149693024,0.883,0.408165510191735
"2011","LT",20.1056038922056,0,32,47,22884.8249519631,0.839,0
"2011","LU",20.8032516577234,0,8,3,94475.0302265024,0.9,0
"2011","LV",13.2469350336999,0,27,78,19248.419400173,0.829,0
"2011","MT",18.0008743141375,0,9,8,28973.2708577894,0.779897941,0
"2011","NL",21.8257423934517,0.136,2829,2944,46599.02103045,0.928,0.514256318131647
"2011","NO",22.3453802113979,0.024,183,112,62076.7406576686,0.942,0.288449914061482
"2011","PL",24.1742021805124,0.008,439,380,22827.6981360926,0.844,0.2
"2011","PT",21.8087934768559,0.012,996,546,26769.5118850004,0.834,0.228942848510666
"2011","RO",23.0730951483494,0,127,152,17896.2758641785,0.805,0
"2011","SE",22.2658758408006,0.08,1365,940,44608.5802614915,0.913,0.430886938006377
"2011","SI",20.8261741567732,0,13,28,28931.383323805,0.89,0
"2011","SK",21.3612169569723,0,42,47,26145.8893829396,0.838,0
"2011","UK",25.0707178707821,1.448,8229,9218,37379.2909657729,0.906,1.13133056516458
"2012","AT",21.5538828166097,0.024,255,191,46457.3457770311,0.908,0.288449914061482
"2012","BE",22.3247946050526,0.068,1574,1077,42290.7620520019,0.913,0.408165510191735
"2012","BG",21.0009431571572,0,50,29,16327.8726078533,0.795,0
"2012","CH",21.3311284898808,0.208,402,386,59933.5986829168,0.944,0.592499213681474
"2012","CY",19.7895452941604,0,40,21,31834.517578125,0.859,0
"2012","CZ",21.3828682500635,0.004,376,220,29254.7312685144,0.875,0.15874010519682
"2012","DE",23.614175945023,0.272,9514,9575,43359.6148271723,0.935,0.647922360255497
"2012","DK",23.0438028371936,0.056,663,540,44803.9682421214,0.932,0.382586236554478
"2012","EE",20.9827813764858,0,14,11,25996.0467779508,0.865,0
"2012","EL",20.3128470897764,0.008,759,1342,24911.119631324,0.865,0.2
"2012","ES",23.7950460310257,0.072,1233,1396,31720.1199986535,0.881,0.416016764610381
"2012","FI",21.8346712261972,0.056,653,325,40873.0953326066,0.92,0.382586236554478
"2012","FR",24.6777583236949,0.196,1711,1648,37679.1189105924,0.885,0.58087857335637
"2012","HR",18.4972107999158,0,37,45,21397.4867786553,0.825,0
"2012","HU",22.6802655162851,0,133,165,23275.2318574574,0.83,0
"2012","IE",20.5758680417243,0.052,284,339,46361.463694173,0.908,0.373251115681725
"2012","IS",17.9998363385366,0,96,25,42004.4476110597,0.915,0
"2012","IT",24.1288143363614,0.068,672,897,36486.2967870302,0.883,0.408165510191735
"2012","LT",19.9606014886659,0,41,27,24703.6858202502,0.841,0
"2012","LU",15.2981677264998,0,24,11,96636.426643956,0.9,0
"2012","LV",13.4843359003596,0,1,6,21290.4595879,0.832,0
"2012","MT",17.0777585663109,0,5,3,30243.8413140141,0.790826168,0
"2012","NL",22.0314315452667,0.148,667,734,47272.1030187972,0.929,0.528957247269421
"2012","NO",22.3450246867665,0.024,161,145,65354.7792483883,0.941,0.288449914061482
"2012","PL",23.9708590808601,0.008,813,763,23745.6977950949,0.841,0.2
"2012","PT",21.1347298621568,0.012,1487,1436,26438.0163019973,0.836,0.228942848510666
"2012","RO",22.826413595321,0,101,109,18869.5689682481,0.803,0
"2012","SE",22.2890181764805,0.08,1484,1082,45432.4319692761,0.913,0.430886938006377
"2012","SI",21.0738508559924,0,14,14,29042.8202729641,0.885,0
"2012","SK",21.7541473242855,0,88,102,26888.3480996682,0.844,0
"2012","UK",25.3931604676441,1.352,6520,7338,38514.0261691783,0.904,1.10575496273577
"2013","AT",21.5969557305872,0.02,457,328,47922.0491207455,0.906,0.271441761659491
"2013","BE",22.6471566254373,0.068,312,308,43671.11959259,0.916,0.408165510191735
"2013","BG",21.4980846008797,0,104,92,16647.0063974042,0.801,0
"2013","CH",21.744989288924,0.268,759,943,62225.087267788,0.946,0.644730572726691
"2013","CY",19.3254735962617,0,58,36,30375.091796875,0.861,0
"2013","CZ",21.7975537076447,0.012,283,234,30818.1081558477,0.882,0.228942848510666
"2013","DE",23.6697732365105,0.276,6029,5991,44993.8927459315,0.934,0.651083007152643
"2013","DK",22.9774510957577,0.076,378,279,46726.8541437832,0.934,0.423582358425489
"2013","EE",20.816280788893,0.008,22,12,27464.5186781161,0.87,0.2
"2013","EL",21.7140480238748,0.008,323,611,25986.6503155014,0.866,0.2
"2013","ES",23.7585812603276,0.068,1235,1538,32434.0032017704,0.882,0.408165510191735
"2013","FI",22.0426187934196,0.06,333,300,41493.1416470359,0.929,0.391486764116886
"2013","FR",23.8376854043232,0.204,2052,2656,39523.8551519345,0.889,0.588676531688334
"2013","HR",19.6789064720269,0,232,482,22081.0977857438,0.829,0
"2013","HU",22.845601467329,0,694,874,24556.7153473909,0.839,0
"2013","IE",20.6231795979901,0.044,731,787,47830.6308878373,0.916,0.353034833532606
"2013","IS",18.5229925792232,0,13,8,44409.6689530904,0.926,0
"2013","IT",24.3180433232609,0.08,787,1137,36314.6971007775,0.882,0.430886938006377
"2013","LT",20.6817927506373,0,49,25,26721.5796712844,0.847,0
"2013","LU",19.0084674088545,0,18,7,100925.011992241,0.9,0
"2013","LV",14.8691972807739,0,6,6,22639.0683375842,0.839,0
"2013","MT",17.111251322314,0,649,360,32295.8473400221,0.789521874,0
"2013","NL",21.8296057754383,0.172,638,690,49241.5178406305,0.93,0.556129776652124
"2013","NO",22.7690453076305,0.036,360,192,66961.2530988205,0.945,0.330192724889463
"2013","PL",24.0642590783896,0.008,568,517,24567.5061660536,0.857,0.2
"2013","PT",21.4253602578483,0.012,1214,1094,27936.0396644563,0.84,0.228942848510666
"2013","RO",22.7135654653816,0,724,715,19781.9257079992,0.808,0
"2013","SE",21.6526839959246,0.08,1973,1822,46312.3923824667,0.933,0.430886938006377
"2013","SI",21.6532861445271,0,33,43,29973.6993541529,0.892,0
"2013","SK",22.2978617686083,0,23,37,27915.4332088556,0.844,0
"2013","UK",25.4210827556399,1.472,7207,7413,40218.7472562217,0.921,1.13754679194063
"2014","AT",21.8698920097629,0.024,218,174,48799.7154676985,0.912,0.288449914061482
"2014","BE",22.4249910950235,0.064,813,807,44929.685593416,0.919,0.4
"2014","BG",21.0563088946773,0,139,103,17616.913178474,0.806,0
"2014","CH",22.3219438960426,0.268,810,617,64103.0104476336,0.942,0.644730572726691
"2014","CY",18.7316427133376,0,19,16,30080.23046875,0.862,0
"2014","CZ",21.9553855059524,0.012,279,190,32502.4753540118,0.887,0.228942848510666
"2014","DE",23.5159677266314,0.268,9877,8281,47011.5510935131,0.936,0.644730572726691
"2014","DK",22.9138558249956,0.076,475,602,47901.4473627066,0.935,0.423582358425489
"2014","EE",21.264323478119,0.004,162,181,28945.4653303277,0.871,0.15874010519682
"2014","EL",21.0660234559374,0.016,1088,1454,26625.0618096799,0.875,0.251984209978975
"2014","ES",23.7608247802071,0.06,7111,10239,33525.7406299089,0.888,0.391486764116886
"2014","FI",22.1970949322821,0.06,1499,2005,41757.4021894413,0.928,0.391486764116886
"2014","FR",23.6692667366891,0.18,10794,12714,40144.0268283679,0.893,0.564621617328617
"2014","HR",21.6435601515532,0,63,62,22325.0765880566,0.836,0
"2014","HU",22.563703493997,0,164,222,25699.7504973846,0.838,0
"2014","IE",20.4540001805316,0.044,576,646,51098.2666828245,0.928,0.353034833532606
"2014","IS",17.1361640920977,0,169,70,45996.9687476901,0.931,0
"2014","IT",24.1650315953088,0.08,3919,5117,36194.873918843,0.882,0.430886938006377
"2014","LT",20.415028073008,0,344,332,28184.4723303858,0.859,0
"2014","LU",16.4269182788106,0,15,8,105296.284588232,0.904,0
"2014","LV",13.3571738052658,0,120,97,23815.8000623115,0.844,0
"2014","MT",18.3107487217523,0,20,6,34344.0217879777,0.790629711,0
"2014","NL",22.2636965801563,0.192,698,804,49233.2153954401,0.932,0.576899828122963
"2014","NO",22.8746960488373,0.028,762,463,65892.6892787813,0.944,0.303658897187566
"2014","PL",23.9386075182012,0.008,1497,1745,25475.5046935928,0.858,0.2
"2014","PT",21.2162025013532,0.012,1211,1059,28742.4403783509,0.846,0.228942848510666
"2014","RO",22.8700331232498,0,933,1046,20657.6732894791,0.812,0
"2014","SE",21.2567942266147,0.08,386,289,47184.6691338182,0.936,0.430886938006377
"2014","SI",21.126522588222,0,453,595,30870.0236667425,0.894,0
"2014","SK",22.3652783676003,0,120,92,28929.526363289,0.847,0
"2014","UK",25.6859195040288,1.476,7393,7299,41580.6024876318,0.925,1.1385762466128
"2015","AT",22.4773284548461,0.024,921,758,49865.9039424185,0.916,0.288449914061482
"2015","BE",22.5401425744303,0.064,1953,1571,46200.904454307,0.922,0.4
"2015","BG",21.3946979104669,0,93,175,18391.9274727456,0.809,0
"2015","CH",21.9764368037435,0.268,2831,1830,66020.2043398841,0.948,0.644730572726691
"2015","CY",18.9894996835205,0,29,22,31815.2734375,0.866,0
"2015","CZ",22.1519455216374,0.012,310,251,33899.2865661657,0.892,0.228942848510666
"2015","DE",24.342019332453,0.272,7999,7502,47609.7810045816,0.938,0.647922360255497
"2015","DK",23.1143252187357,0.076,600,564,49045.3391904109,0.933,0.423582358425489
"2015","EE",20.5892022115064,0.004,42,49,29175.9259267894,0.877,0.15874010519682
"2015","EL",19.7372379215018,0.016,1396,2047,26760.3633030256,0.877,0.251984209978975
"2015","ES",24.0419654636535,0.064,1971,2182,34903.1274779473,0.895,0.4
"2015","FI",21.8335720700363,0.06,220,204,42497.7049785783,0.93,0.391486764116886
"2015","FR",24.2685400257876,0.196,3688,4769,40849.9973780501,0.894,0.58087857335637
"2015","HR",20.0482264549948,0,54,56,23301.2728639377,0.84,0
"2015","HU",23.0010944901595,0,705,678,26806.5952452257,0.841,0
"2015","IE",20.7845530827904,0.044,262,242,69028.7727189836,0.935,0.353034833532606
"2015","IS",18.689345265215,0,90,31,49201.0640964553,0.934,0
"2015","IT",24.4358063337665,0.08,1270,2078,36899.3852092463,0.882,0.430886938006377
"2015","LT",18.4105808471768,0,29,23,28834.4276801135,0.863,0
"2015","LU",17.7941387043864,0,107,70,107859.685999308,0.906,0
"2015","LV",15.1525134736315,0,6,7,24972.7860869932,0.85,0
"2015","MT",19.386046143147,0,8,4,37455.20487447,0.791056647,0
"2015","NL",22.7257663768372,0.192,1519,1717,50288.5913949377,0.935,0.576899828122963
