sender;receiver;dist
CZ02;BE32;749217.6168
CZ03;BE32;716300.0131
CZ04;BE32;664502.558
CZ05;BE32;834553.9977
CZ06;BE32;882798.5916
CZ07;BE32;961532.7318
CZ08;BE32;999086.263
DE11;BE32;432058.1218
DE12;BE32;369590.3729
DE13;BE32;407291.556
DE14;BE32;473044.9243
DE21;BE32;616398.4459
DE22;BE32;660220.4651
DE23;BE32;590213.304
DE24;BE32;523297.3961
DE25;BE32;498525.915
DE26;BE32;421783.9991
DE27;BE32;535127.2722
DE30;BE32;687620.6631
DE40;BE32;686826.0719
DE50;BE32;441082.1584
DE60;BE32;534950.8021
DE71;BE32;339761.4935
DE72;BE32;333913.9516
DE73;BE32;387584.2102
DE80;BE32;686038.8651
DE91;BE32;474234.6382
DE92;BE32;428971.3195
DE93;BE32;499369.3375
DE94;BE32;375611.882
DEA1;BE32;210624.2735
DEA2;BE32;200271.49
DEA3;BE32;288243.836
DEA4;BE32;371024.8922
DEA5;BE32;295776.0166
FRG0;BE32;480793.6183
FRH0;BE32;555536.1247
PL21;BE32;1156965.661
PL22;BE32;1062015.985
PL41;BE32;941011.9213
PL42;BE32;860578.4929
PL43;BE32;808557.8394
PL51;BE32;872521.5554
PL52;BE32;980124.3845
PL61;BE32;1037310.938
PL62;BE32;1203333.772
AT11;BE32;965789.2162
AT12;BE32;881603.6249
AT13;BE32;928715.0605
AT21;BE32;830302.5673
AT22;BE32;874712.9991
AT31;BE32;761965.6681
AT32;BE32;740574.088
AT33;BE32;637858.7078
AT34;BE32;556652.4568
BE10;BE32;49457.52059
BE21;BE32;100552.6512
BE22;BE32;113684.2544
BE23;BE32;67540.30596
BE24;BE32;61535.80125
BE25;BE32;93629.45518
ITH4;BE32;819788.0392
ITH5;BE32;841864.6786
ITI1;BE32;941554.7406
ITI2;BE32;1049289.052
BE35;BE32;64035.13926
BG31;BE32;1690104.978
BG32;BE32;1835847.951
BG33;BE32;1928653.866
BG34;BE32;1930003.369
BG41;BE32;1726602.178
BG42;BE32;1863848.095
CH01;BE32;513856.7844
CH02;BE32;463604.0845
CH03;BE32;446674.5261
CH04;BE32;476570.7633
PL81;BE32;1322490.155
PL82;BE32;1288247.106
PL84;BE32;1331723.879
PL91;BE32;1203036.901
PL92;BE32;1200537.602
PT11;BE32;1345702.395
PT15;BE32;1755347.356
PT16;BE32;1479408.485
PT17;BE32;1657130.721
PT18;BE32;1633321.798
PT20;BE32;2877011.281
PT30;BE32;2798651.092
EL65;BE32;2059337.695
ES11;BE32;1248409.61
ES12;BE32;1098151.283
ES13;BE32;1015881.499
ES21;BE32;962821.4131
ES22;BE32;961766.9208
ES23;BE32;1038720.583
ES24;BE32;1058673.915
ES30;BE32;1259023.131
ES41;BE32;1180265.596
ES42;BE32;1329349.886
ES43;BE32;1484066.102
ES51;BE32;978844.2543
ES52;BE32;1279436.575
ES53;BE32;1208245.741
ES61;BE32;1597011.192
ES62;BE32;1450011.396
ES63;BE32;1783647.153
ES64;BE32;1775421.221
ES70;BE32;3011847.324
FI19;BE32;1777909.72
FI1B;BE32;1696104.618
FI1C;BE32;1744257.067
FI1D;BE32;2131675.486
FI20;BE32;1478799.234
FR10;BE32;219320.1484
FRB0;BE32;370244.8419
FRC1;BE32;354800.5388
FRC2;BE32;391347.0484
FRD1;BE32;365956.4147
FRD2;BE32;244722.601
FRE1;BE32;91199.39661
FRE2;BE32;125359.1862
FRF1;BE32;340929.7997
FRF2;BE32;191048.6915
FRF3;BE32;243644.256
UKK2;BE32;475891.7554
UKK3;BE32;624188.5278
UKK4;BE32;553327.6332
UKL1;BE32;594979.4469
FRI1;BE32;746537.5231
FRI2;BE32;547504.4062
FRI3;BE32;563888.1312
FRJ1;BE32;762293.8448
FRJ2;BE32;766596.553
FRK1;BE32;535387.0806
FRK2;BE32;563640.3125
FRL0;BE32;735768.3168
FRM0;BE32;1002361.265
FRY1;BE32;6902140.778
FRY2;BE32;6995630.367
FRY3;BE32;7411591.486
FRY4;BE32;9421043.381
FRY5;BE32;8092295.576
HR03;BE32;1098421.055
HR02;BE32;1132659.166
HU11;BE32;1145455.38
HU12;BE32;1163664.65
HU21;BE32;1086549.166
HU22;BE32;1012690.402
HU23;BE32;1125427.752
HU31;BE32;1222171.227
HU32;BE32;1295521.998
HU33;BE32;1253658.54
IE04;BE32;940289.3765
IE05;BE32;886716.4289
IE06;BE32;824177.6916
DK03;BE32;644364.5573
DK04;BE32;737707.929
DK05;BE32;820392.0204
EE00;BE32;1666660.731
EL30;BE32;2071788.686
EL41;BE32;2286226.432
EL42;BE32;2481027.667
EL43;BE32;2380954.111
EL51;BE32;1922443.972
EL52;BE32;1810437.242
EL53;BE32;1757714.209
EL54;BE32;1776744.72
EL61;BE32;1862631.944
EL62;BE32;1879808.566
EL63;BE32;1977654.187
EL64;BE32;1961126.433
ITI3;BE32;1048135.353
ITI4;BE32;1150376.242
LT01;BE32;1505952.995
LT02;BE32;1424064.184
LU00;BE32;164869.181
LV00;BE32;1540452.583
MT00;BE32;1819937.635
