"nuts2","year","n_res"
"CZ03",2011,446
"CZ04",2011,58
"CZ05",2011,428
"CZ06",2011,1442
"CZ07",2011,705
"CZ08",2011,303
"DE11",2011,922
"DE12",2011,2554
"DE13",2011,1131
"DE14",2011,1113
"DE21",2011,3141
"DE22",2011,63
"DE23",2011,269
"DE24",2011,394
"DE25",2011,808
"DE26",2011,478
"DE27",2011,162
"DE30",2011,3542
"DE40",2011,930
"DE50",2011,956
"DE60",2011,1306
"DE71",2011,1469
"DE72",2011,697
"DE73",2011,201
"DE80",2011,507
"DE91",2011,1488
"DE92",2011,810
"DE93",2011,0
"DE94",2011,369
"DEA1",2011,930
"DEA2",2011,3085
"DEA3",2011,400
"DEA4",2011,449
"DEA5",2011,1106
"DEB1",2011,42
"DEB2",2011,132
"DEB3",2011,932
"DEC0",2011,348
"DED2",2011,1100
"DED4",2011,328
"DED5",2011,751
"DEE0",2011,735
"DEF0",2011,1027
"DEG0",2011,891
"DK01",2011,5138
"DK02",2011,564
"DK03",2011,1045
"DK04",2011,1831
"DK05",2011,656
"EE00",2011,885
"EL30",2011,2972
"EL41",2011,138
"EL42",2011,0
"EL43",2011,626
"EL51",2011,306
"EL52",2011,1682
"EL53",2011,61
"EL54",2011,311
"EL61",2011,284
"EL62",2011,41
"EL63",2011,833
"EL64",2011,41
"EL65",2011,38
"ES11",2011,3420
"ES12",2011,1227
"ES13",2011,543
"ES21",2011,2684
"ES22",2011,1038
"ES23",2011,229
"ES24",2011,1584
"ES30",2011,15071
"ES41",2011,3786
"ES42",2011,1196
"ES43",2011,886
"ES51",2011,15550
"ES52",2011,5866
"ES53",2011,514
"ES61",2011,10625
"ES62",2011,1475
"ES63",2011,12
"ES64",2011,15
"ES70",2011,1212
"FI19",2011,1782
"FI1B",2011,3103
"FI1C",2011,1124
"FI1D",2011,1341
"FI20",2011,0
"FR10",2011,11425
"FRB0",2011,528
"FRC1",2011,332
"FRC2",2011,223
"FRD1",2011,309
"FRD2",2011,298
"FRE1",2011,1104
"FRE2",2011,277
"FRF1",2011,1112
"FRF2",2011,203
"FRF3",2011,845
"FRG0",2011,889
"FRH0",2011,1200
"FRI1",2011,1170
"FRI2",2011,180
"FRI3",2011,397
"FRJ1",2011,1453
"FRJ2",2011,1723
"FRK1",2011,414
"FRK2",2011,3704
"FRL0",2011,1921
"FRM0",2011,34
"FRY1",2011,0
"FRY2",2011,0
"FRY3",2011,0
"FRY4",2011,0
"FRY5",2011,0
"HR02",2011,218
"HR03",2011,925
"HR05",2011,2019
"HR06",2011,63
"HU11",2011,2288
"HU12",2011,427
"HU21",2011,87
"HU22",2011,69
"HU23",2011,265
"HU31",2011,95
"HU32",2011,378
"HU33",2011,460
"IE04",2011,731
"IE05",2011,1401
"IE06",2011,3755
"IS00",2011,516
"ITC1",2011,2215
"ITC2",2011,9
"ITC3",2011,944
"ITC4",2011,7185
"ITF1",2011,548
"ITF2",2011,135
"ITF3",2011,2432
"ITF4",2011,1212
"ITF5",2011,115
"ITF6",2011,566
"ITG1",2011,1700
"ITG2",2011,600
"ITH1",2011,417
"ITH2",2011,240
"ITH3",2011,2708
"ITH4",2011,1186
"ITH5",2011,3503
"ITI1",2011,4239
"ITI2",2011,1
"ITI3",2011,750
"ITI4",2011,6050
"LT01",2011,795
"LT02",2011,709
"LU00",2011,384
"LV00",2011,964
"MT00",2011,306
"NL11",2011,1308
"NL12",2011,53
"NL13",2011,24
"NL21",2011,780
"NL22",2011,2201
"NL23",2011,21
"NL31",2011,1935
"NL32",2011,3084
"NL33",2011,3783
"NL34",2011,24
"NL41",2011,1009
"NL42",2011,874
"NO02",2011,62
"NO06",2011,1010
"NO07",2011,434
"NO08",2011,2038
"NO09",2011,169
"NO0A",2011,1091
"NO0B",2011,15
"PL21",2011,3707
"PL22",2011,2258
"PL41",2011,2244
"PL42",2011,676
"PL43",2011,127
"PL51",2011,2262
"PL52",2011,280
"PL61",2011,821
"PL62",2011,520
"PL63",2011,1626
"PL71",2011,1690
"PL72",2011,181
"PL81",2011,1438
"PL82",2011,372
"PL84",2011,560
"PL91",2011,5880
"PL92",2011,195
"PT11",2011,11137
"PT15",2011,732
"PT16",2011,19772
"PT17",2011,1446
"PT18",2011,835
"PT20",2011,351
"PT30",2011,310
"RO11",2011,1066
"RO12",2011,295
"RO21",2011,649
"RO22",2011,218
"RO31",2011,97
"RO32",2011,2145
"RO41",2011,132
"RO42",2011,432
"SE11",2011,3821
"SE12",2011,2898
"SE21",2011,2023
"SE22",2011,2141
"SE23",2011,512
"SE31",2011,229
"SE32",2011,119
"SE33",2011,1009
"SI03",2011,156
"SI04",2011,1136
"SK01",2011,793
"SK02",2011,185
"SK03",2011,213
"SK04",2011,394
"UKC1",2011,979
"UKC2",2011,1706
"UKD1",2011,48
"UKD3",2011,3917
"UKD4",2011,1056
"UKD6",2011,258
"UKD7",2011,1699
"UKE1",2011,433
"UKE2",2011,1415
"UKE3",2011,2120
"UKE4",2011,2980
"UKF1",2011,2691
"UKF2",2011,30
"UKF3",2011,235
"UKG1",2011,3605
"UKG2",2011,455
"UKG3",2011,2175
"UKH1",2011,5761
"UKH2",2011,421
"UKH3",2011,624
"UKI0",2011,16106
"UKJ1",2011,6288
"UKJ2",2011,2195
"UKJ3",2011,2076
"UKJ4",2011,760
"UKK1",2011,2029
"UKK2",2011,939
"UKK3",2011,119
"UKK4",2011,1375
"UKL1",2011,1434
"UKL2",2011,1671
"UKM5",2011,999
"UKM6",2011,39
"UKM7",2011,4746
"UKM8",2011,2659
"UKM9",2011,32
"UKN0",2011,1104
"AT11",2011,8
"AT12",2012,320
"AT13",2012,4289
"AT21",2012,161
"AT22",2012,1205
"AT31",2012,413
"AT32",2012,340
"AT33",2012,810
"AT34",2012,38
"BE10",2012,2233
"BE21",2012,1000
"BE22",2012,315
"BE23",2012,2205
"BE24",2012,2683
"BE25",2012,113
"BE31",2012,663
"BE32",2012,147
"BE33",2012,548
"BE34",2012,5
"BE35",2012,186
"BG31",2012,49
"BG32",2012,142
"BG33",2012,262
"BG34",2012,58
"BG41",2012,1373
"BG42",2012,299
"CH01",2012,4057
"CH02",2012,1660
"CH03",2012,1303
"CH04",2012,3565
"CH05",2012,225
"CH06",2012,174
"CH07",2012,205
"CY00",2012,1097
"CZ01",2012,3997
"CZ02",2012,78
"CZ03",2012,468
"CZ04",2012,54
"CZ05",2012,457
"CZ06",2012,1567
"CZ07",2012,764
"CZ08",2012,317
"DE11",2012,1026
"DE12",2012,2885
"DE13",2012,1253
"DE14",2012,1261
"DE21",2012,3470
"DE22",2012,72
"DE23",2012,292
"DE24",2012,456
"DE25",2012,920
"DE26",2012,511
"DE27",2012,175
"DE30",2012,3971
"DE40",2012,1001
"DE50",2012,1038
"DE60",2012,1495
"DE71",2012,1627
"DE72",2012,751
"DE73",2012,231
"DE80",2012,546
"DE91",2012,1707
"DE92",2012,887
"DE93",2012,0
"DE94",2012,410
"DEA1",2012,1076
"DEA2",2012,3429
"DEA3",2012,441
"DEA4",2012,486
"DEA5",2012,1225
"DEB1",2012,44
"DEB2",2012,137
"DEB3",2012,1037
"DEC0",2012,394
"DED2",2012,1242
"DED4",2012,334
"DED5",2012,810
"DEE0",2012,786
"DEF0",2012,1162
"DEG0",2012,993
"DK01",2012,5750
"DK02",2012,632
"DK03",2012,1223
"DK04",2012,2012
"DK05",2012,724
"EE00",2012,995
"EL30",2012,3064
"EL41",2012,142
"EL42",2012,0
"EL43",2012,668
"EL51",2012,302
"EL52",2012,1738
"EL53",2012,68
"EL54",2012,336
"EL61",2012,290
"EL62",2012,52
"EL63",2012,864
"EL64",2012,42
"EL65",2012,41
"ES11",2012,3637
"ES12",2012,1294
"ES13",2012,584
"ES21",2012,2905
"ES22",2012,1109
"ES23",2012,272
"ES24",2012,1689
"ES30",2012,15873
"ES41",2012,3980
"ES42",2012,1204
"ES43",2012,885
"ES51",2012,16748
"ES52",2012,6227
"ES53",2012,526
"ES61",2012,11314
"ES62",2012,1545
"ES63",2012,16
"ES64",2012,19
"ES70",2012,1261
"FI19",2012,1911
"FI1B",2012,3406
"FI1C",2012,1211
"FI1D",2012,1461
"FI20",2012,0
"FR10",2012,12372
"FRB0",2012,561
"FRC1",2012,348
"FRC2",2012,263
"FRD1",2012,339
"FRD2",2012,327
"FRE1",2012,1184
"FRE2",2012,289
"FRF1",2012,1214
"FRF2",2012,223
"FRF3",2012,885
"FRG0",2012,979
"FRH0",2012,1363
"FRI1",2012,1238
"FRI2",2012,183
"FRI3",2012,423
"FRJ1",2012,1556
"FRJ2",2012,1813
"FRK1",2012,466
"FRK2",2012,4030
"FRL0",2012,2095
"FRM0",2012,30
"FRY1",2012,0
"FRY2",2012,0
"FRY3",2012,0
"FRY4",2012,0
"FRY5",2012,0
"HR02",2012,227
"HR03",2012,998
"HR05",2012,2058
"HR06",2012,63
"HU11",2012,2455
"HU12",2012,468
"HU21",2012,88
"HU22",2012,67
"HU23",2012,268
"HU31",2012,94
"HU32",2012,386
"HU33",2012,504
"IE04",2012,815
"IE05",2012,1547
"IE06",2012,4062
"IS00",2012,558
"ITC1",2012,2411
"ITC2",2012,8
"ITC3",2012,1054
"ITC4",2012,7736
"ITF1",2012,593
"ITF2",2012,156
"ITF3",2012,2598
"ITF4",2012,1308
"ITF5",2012,126
"ITF6",2012,579
"ITG1",2012,1737
"ITG2",2012,700
"ITH1",2012,485
"ITH2",2012,302
"ITH3",2012,2864
"ITH4",2012,1247
"ITH5",2012,3909
"ITI1",2012,4693
"ITI2",2012,2
"ITI3",2012,801
"ITI4",2012,6449
"LT01",2012,868
"LT02",2012,757
"LU00",2012,444
"LV00",2012,1039
"MT00",2012,317
"NL11",2012,1461
"NL12",2012,54
"NL13",2012,31
"NL21",2012,861
"NL22",2012,2459
"NL23",2012,23
"NL31",2012,2114
"NL32",2012,3333
"NL33",2012,4138
"NL34",2012,28
"NL41",2012,1092
"NL42",2012,986
"NO02",2012,74
"NO06",2012,1097
"NO07",2012,488
"NO08",2012,2250
"NO09",2012,195
"NO0A",2012,1182
"NO0B",2012,18
"PL21",2012,3920
"PL22",2012,2408
"PL41",2012,2393
"PL42",2012,697
"PL43",2012,130
"PL51",2012,2431
"PL52",2012,311
"PL61",2012,898
"PL62",2012,540
"PL63",2012,1740
"PL71",2012,1760
"PL72",2012,192
"PL81",2012,1564
"PL82",2012,420
"PL84",2012,572
"PL91",2012,6324
"PL92",2012,200
"PT11",2012,11735
"PT15",2012,751
"PT16",2012,20821
"PT17",2012,1547
"PT18",2012,855
"PT20",2012,368
"PT30",2012,318
"RO11",2012,1112
"RO12",2012,307
"RO21",2012,634
"RO22",2012,226
"RO31",2012,94
"RO32",2012,2201
"RO41",2012,134
"RO42",2012,440
"SE11",2012,4157
"SE12",2012,3140
"SE21",2012,2216
"SE22",2012,2284
"SE23",2012,515
"SE31",2012,259
"SE32",2012,128
"SE33",2012,1074
"SI03",2012,166
"SI04",2012,1217
"SK01",2012,857
"SK02",2012,195
"SK03",2012,233
"SK04",2012,411
"UKC1",2012,1055
"UKC2",2012,1878
"UKD1",2012,50
"UKD3",2012,4356
"UKD4",2012,1179
"UKD6",2012,288
"UKD7",2012,1885
"UKE1",2012,476
"UKE2",2012,1583
"UKE3",2012,2382
"UKE4",2012,3214
"UKF1",2012,2994
"UKF2",2012,30
"UKF3",2012,298
"UKG1",2012,4036
"UKG2",2012,489
"UKG3",2012,2371
"UKH1",2012,6285
"UKH2",2012,482
"UKH3",2012,635
"UKI0",2012,17693
"UKJ1",2012,6951
"UKJ2",2012,2369
"UKJ3",2012,2270
"UKJ4",2012,843
"UKK1",2012,2265
"UKK2",2012,1050
"UKK3",2012,133
"UKK4",2012,1550
"UKL1",2012,1567
"UKL2",2012,1869
"UKM5",2012,1051
"UKM6",2012,44
"UKM7",2012,5220
"UKM8",2012,2966
"UKM9",2012,31
"UKN0",2012,1194
"AT11",2012,9
"AT12",2013,336
"AT13",2013,4612
