"nuts2","year","n_res"
"PT17",2017,1340
"PT18",2017,726
"PT20",2017,295
"PT30",2017,296
"RO11",2017,1103
"RO12",2017,275
"RO21",2017,575
"RO22",2017,192
"RO31",2017,75
"RO32",2017,1985
"RO41",2017,122
"RO42",2017,413
"SE11",2017,4168
"SE12",2017,3314
"SE21",2017,2439
"SE22",2017,2217
"SE23",2017,483
"SE31",2017,271
"SE32",2017,105
"SE33",2017,1076
"SI03",2017,172
"SI04",2017,1064
"SK01",2017,843
"SK02",2017,218
"SK03",2017,268
"SK04",2017,450
"UKC1",2017,1207
"UKC2",2017,2259
"UKD1",2017,69
"UKD3",2017,5093
"UKD4",2017,1398
"UKD6",2017,309
"UKD7",2017,2209
"UKE1",2017,455
"UKE2",2017,1842
"UKE3",2017,2642
"UKE4",2017,3650
"UKF1",2017,3404
"UKF2",2017,34
"UKF3",2017,460
"UKG1",2017,4575
"UKG2",2017,543
"UKG3",2017,2724
"UKH1",2017,7356
"UKH2",2017,554
"UKH3",2017,718
"UKI0",2017,21117
"UKJ1",2017,7817
"UKJ2",2017,2605
"UKJ3",2017,2633
"UKJ4",2017,989
"UKK1",2017,2531
"UKK2",2017,1213
"UKK3",2017,189
"UKK4",2017,1748
"UKL1",2017,1658
"UKL2",2017,2030
"UKM5",2017,1062
"UKM6",2017,52
"UKM7",2017,5899
"UKM8",2017,3415
"UKM9",2017,33
"UKN0",2017,1318
"AT11",2017,20
"AT12",2018,456
"AT13",2018,4320
"AT21",2018,168
"AT22",2018,1261
"AT31",2018,427
"AT32",2018,349
"AT33",2018,857
"AT34",2018,29
"BE10",2018,2542
"BE21",2018,1220
"BE22",2018,320
"BE23",2018,2305
"BE24",2018,2988
"BE25",2018,133
"BE31",2018,631
"BE32",2018,162
"BE33",2018,549
"BE34",2018,4
"BE35",2018,185
"BG31",2018,49
"BG32",2018,136
"BG33",2018,246
"BG34",2018,64
"BG41",2018,1202
"BG42",2018,266
"CH01",2018,4947
"CH02",2018,1894
"CH03",2018,1561
"CH04",2018,4127
"CH05",2018,280
"CH06",2018,203
"CH07",2018,276
"CY00",2018,1177
"CZ01",2018,4261
"CZ02",2018,117
"CZ03",2018,495
"CZ04",2018,62
"CZ05",2018,497
"CZ06",2018,1604
"CZ07",2018,961
"CZ08",2018,328
"DE11",2018,1139
"DE12",2018,3109
"DE13",2018,1227
"DE14",2018,1325
"DE21",2018,3916
"DE22",2018,82
"DE23",2018,300
"DE24",2018,428
"DE25",2018,920
"DE26",2018,518
"DE27",2018,181
"DE30",2018,4297
"DE40",2018,1166
"DE50",2018,1076
"DE60",2018,1732
"DE71",2018,1823
"DE72",2018,700
"DE73",2018,222
"DE80",2018,539
"DE91",2018,1790
"DE92",2018,964
"DE93",2018,1
"DE94",2018,511
"DEA1",2018,1257
"DEA2",2018,3828
"DEA3",2018,461
"DEA4",2018,504
"DEA5",2018,1372
"DEB1",2018,43
"DEB2",2018,145
"DEB3",2018,1052
"DEC0",2018,438
"DED2",2018,1343
"DED4",2018,301
"DED5",2018,854
"DEE0",2018,712
"DEF0",2018,1261
"DEG0",2018,922
"DK01",2018,6212
"DK02",2018,568
"DK03",2018,1375
"DK04",2018,2059
"DK05",2018,780
"EE00",2018,1001
"EL30",2018,2471
"EL41",2018,129
"EL42",2018,0
"EL43",2018,511
"EL51",2018,212
"EL52",2018,1392
"EL53",2018,68
"EL54",2018,201
"EL61",2018,261
"EL62",2018,47
"EL63",2018,639
"EL64",2018,46
"EL65",2018,50
"ES11",2018,3253
"ES12",2018,1089
"ES13",2018,626
"ES21",2018,2810
"ES22",2018,953
"ES23",2018,551
"ES24",2018,1520
"ES30",2018,14754
"ES41",2018,3708
"ES42",2018,1198
"ES43",2018,753
"ES51",2018,14785
"ES52",2018,5893
"ES53",2018,512
"ES61",2018,10716
"ES62",2018,1432
"ES63",2018,20
"ES64",2018,14
"ES70",2018,1164
"FI19",2018,2064
"FI1B",2018,3572
"FI1C",2018,1281
"FI1D",2018,1536
"FI20",2018,0
"FR10",2018,12320
"FRB0",2018,559
"FRC1",2018,319
"FRC2",2018,264
"FRD1",2018,322
"FRD2",2018,304
"FRE1",2018,1290
"FRE2",2018,286
"FRF1",2018,1164
"FRF2",2018,231
"FRF3",2018,772
"FRG0",2018,1052
"FRH0",2018,1426
"FRI1",2018,1358
"FRI2",2018,181
"FRI3",2018,389
"FRJ1",2018,1651
"FRJ2",2018,1832
"FRK1",2018,451
"FRK2",2018,4073
"FRL0",2018,2126
"FRM0",2018,37
"FRY1",2018,0
"FRY2",2018,0
"FRY3",2018,0
"FRY4",2018,0
"FRY5",2018,0
"HR02",2018,212
"HR03",2018,946
"HR05",2018,1660
"HR06",2018,55
"HU11",2018,2196
"HU12",2018,566
"HU21",2018,73
"HU22",2018,81
"HU23",2018,261
"HU31",2018,100
"HU32",2018,354
"HU33",2018,447
"IE04",2018,855
"IE05",2018,1594
"IE06",2018,4230
"IS00",2018,559
"ITC1",2018,2472
"ITC2",2018,15
"ITC3",2018,1055
"ITC4",2018,7365
"ITF1",2018,653
"ITF2",2018,111
"ITF3",2018,2446
"ITF4",2018,1170
"ITF5",2018,118
"ITF6",2018,455
"ITG1",2018,1524
"ITG2",2018,632
"ITH1",2018,554
"ITH2",2018,390
"ITH3",2018,3199
"ITH4",2018,1196
"ITH5",2018,3642
"ITI1",2018,4093
"ITI2",2018,3
"ITI3",2018,695
"ITI4",2018,5856
"LT01",2018,807
"LT02",2018,693
"LU00",2018,695
"LV00",2018,964
"MT00",2018,272
"NL11",2018,1610
"NL12",2018,69
"NL13",2018,33
"NL21",2018,888
"NL22",2018,2452
"NL23",2018,25
"NL31",2018,2203
"NL32",2018,3536
"NL33",2018,4606
"NL34",2018,31
"NL41",2018,1437
"NL42",2018,1085
"NO02",2018,89
"NO06",2018,1229
"NO07",2018,582
"NO08",2018,2404
"NO09",2018,187
"NO0A",2018,1307
"NO0B",2018,20
"PL21",2018,4482
"PL22",2018,2455
"PL41",2018,2570
"PL42",2018,779
"PL43",2018,179
"PL51",2018,2692
"PL52",2018,351
"PL61",2018,959
"PL62",2018,528
"PL63",2018,1915
"PL71",2018,1779
"PL72",2018,238
"PL81",2018,1651
"PL82",2018,457
"PL84",2018,595
"PL91",2018,7084
"PL92",2018,244
"PT11",2018,9974
"PT15",2018,583
"PT16",2018,16860
"PT17",2018,1244
"PT18",2018,666
"PT20",2018,261
"PT30",2018,267
"RO11",2018,1044
"RO12",2018,259
"RO21",2018,528
"RO22",2018,175
"RO31",2018,67
"RO32",2018,1830
"RO41",2018,116
"RO42",2018,399
"SE11",2018,3890
"SE12",2018,3078
"SE21",2018,2294
"SE22",2018,2051
"SE23",2018,437
"SE31",2018,262
"SE32",2018,94
"SE33",2018,991
"SI03",2018,166
"SI04",2018,998
"SK01",2018,799
"SK02",2018,217
"SK03",2018,261
"SK04",2018,434
"UKC1",2018,1083
"UKC2",2018,2088
"UKD1",2018,71
"UKD3",2018,4582
"UKD4",2018,1281
"UKD6",2018,300
"UKD7",2018,2029
"UKE1",2018,408
"UKE2",2018,1690
"UKE3",2018,2401
"UKE4",2018,3267
"UKF1",2018,3154
"UKF2",2018,32
"UKF3",2018,423
"UKG1",2018,4167
"UKG2",2018,511
"UKG3",2018,2537
"UKH1",2018,6825
"UKH2",2018,510
"UKH3",2018,676
"UKI0",2018,19712
"UKJ1",2018,7170
"UKJ2",2018,2385
"UKJ3",2018,2385
"UKJ4",2018,921
"UKK1",2018,2317
"UKK2",2018,1094
"UKK3",2018,175
"UKK4",2018,1581
"UKL1",2018,1514
"UKL2",2018,1859
"UKM5",2018,966
"UKM6",2018,51
"UKM7",2018,5384
"UKM8",2018,3138
"UKM9",2018,30
"UKN0",2018,1215
"AT11",2018,21
"AT12",2019,402
"AT13",2019,3830
"AT21",2019,156
"AT22",2019,1078
"AT31",2019,394
"AT32",2019,311
"AT33",2019,737
"AT34",2019,23
"BE10",2019,2290
"BE21",2019,1117
"BE22",2019,292
"BE23",2019,2006
"BE24",2019,2639
"BE25",2019,113
"BE31",2019,537
"BE32",2019,152
"BE33",2019,498
"BE34",2019,7
"BE35",2019,160
"BG31",2019,45
"BG32",2019,123
"BG33",2019,219
"BG34",2019,55
"BG41",2019,1136
"BG42",2019,252
"CH01",2019,4499
"CH02",2019,1639
"CH03",2019,1410
"CH04",2019,3650
"CH05",2019,264
"CH06",2019,199
"CH07",2019,253
"CY00",2019,1029
"CZ01",2019,3921
"CZ02",2019,105
"CZ03",2019,454
"CZ04",2019,56
"CZ05",2019,454
"CZ06",2019,1460
"CZ07",2019,894
"CZ08",2019,286
"DE11",2019,1001
"DE12",2019,2710
"DE13",2019,1089
"DE14",2019,1159
"DE21",2019,3524
"DE22",2019,66
"DE23",2019,273
"DE24",2019,376
"DE25",2019,827
"DE26",2019,451
"DE27",2019,169
"DE30",2019,3895
"DE40",2019,1043
"DE50",2019,922
"DE60",2019,1527
"DE71",2019,1600
"DE72",2019,626
"DE73",2019,205
"DE80",2019,488
"DE91",2019,1570
"DE92",2019,887
"DE93",2019,0
"DE94",2019,456
"DEA1",2019,1131
"DEA2",2019,3383
"DEA3",2019,405
"DEA4",2019,455
"DEA5",2019,1201
"DEB1",2019,39
"DEB2",2019,134
"DEB3",2019,976
"DEC0",2019,390
"DED2",2019,1186
"DED4",2019,279
"DED5",2019,774
"DEE0",2019,632
"DEF0",2019,1146
"DEG0",2019,805
"DK01",2019,5472
"DK02",2019,494
"DK03",2019,1204
"DK04",2019,1834
"DK05",2019,670
"EE00",2019,912
"EL30",2019,2143
"EL41",2019,117
"EL42",2019,0
"EL43",2019,443
"EL51",2019,186
"EL52",2019,1258
"EL53",2019,72
"EL54",2019,172
"EL61",2019,264
"EL62",2019,43
"EL63",2019,567
"EL64",2019,44
"EL65",2019,49
"ES11",2019,2939
"ES12",2019,952
"ES13",2019,578
"ES21",2019,2504
"ES22",2019,854
"ES23",2019,523
"ES24",2019,1334
"ES30",2019,13183
"ES41",2019,3259
"ES42",2019,1051
"ES43",2019,704
"ES51",2019,13050
"ES52",2019,5295
"ES53",2019,470
"ES61",2019,9439
"ES62",2019,1283
"ES63",2019,19
"ES64",2019,12
"ES70",2019,1047
"FI19",2019,1839
"FI1B",2019,3233
"FI1C",2019,1134
"FI1D",2019,1302
"FI20",2019,0
"FR10",2019,11082
"FRB0",2019,515
"FRC1",2019,293
"FRC2",2019,237
"FRD1",2019,290
"FRD2",2019,289
"FRE1",2019,1177
"FRE2",2019,257
"FRF1",2019,1043
"FRF2",2019,210
"FRF3",2019,721
"FRG0",2019,935
"FRH0",2019,1261
"FRI1",2019,1198
"FRI2",2019,158
"FRI3",2019,357
"FRJ1",2019,1459
"FRJ2",2019,1681
"FRK1",2019,401
"FRK2",2019,3630
"FRL0",2019,1894
"FRM0",2019,35
"FRY1",2019,0
"FRY2",2019,0
"FRY3",2019,0
"FRY4",2019,0
"FRY5",2019,0
"HR02",2019,184
"HR03",2019,814
"HR05",2019,1469
"HR06",2019,45
"HU11",2019,2008
"HU12",2019,483
"HU21",2019,69
"HU22",2019,78
"HU23",2019,233
"HU31",2019,92
"HU32",2019,320
"HU33",2019,409
"IE04",2019,763
"IE05",2019,1436
"IE06",2019,3810
"IS00",2019,503
"ITC1",2019,2237
"ITC2",2019,14
"ITC3",2019,931
"ITC4",2019,6620
"ITF1",2019,573
"ITF2",2019,112
"ITF3",2019,2211
"ITF4",2019,1067
"ITF5",2019,115
"ITF6",2019,405
"ITG1",2019,1433
"ITG2",2019,597
"ITH1",2019,484
"ITH2",2019,350
"ITH3",2019,2896
"ITH4",2019,1004
"ITH5",2019,3233
"ITI1",2019,3674
"ITI2",2019,2
"ITI3",2019,638
"ITI4",2019,5365
"LT01",2019,695
"LT02",2019,567
"LU00",2019,650
"LV00",2019,855
"MT00",2019,239
"NL11",2019,1486
"NL12",2019,62
"NL13",2019,22
"NL21",2019,804
"NL22",2019,2173
"NL23",2019,23
"NL31",2019,1985
"NL32",2019,3147
"NL33",2019,4173
"NL34",2019,28
"NL41",2019,1357
"NL42",2019,973
"NO02",2019,72
"NO06",2019,1099
"NO07",2019,541
"NO08",2019,2160
"NO09",2019,173
"NO0A",2019,1171
"NO0B",2019,24
"PL21",2019,4187
"PL22",2019,2289
"PL41",2019,2321
"PL42",2019,727
"PL43",2019,169
"PL51",2019,2449
"PL52",2019,326
"PL61",2019,907
"PL62",2019,488
"PL63",2019,1724
"PL71",2019,1632
"PL72",2019,233
"PL81",2019,1508
"PL82",2019,413
"PL84",2019,529
"PL91",2019,6495
"PL92",2019,224
"PT11",2019,8549
"PT15",2019,503
"PT16",2019,14563
"PT17",2019,1026
"PT18",2019,579
"PT20",2019,228
"PT30",2019,230
"RO11",2019,923
"RO12",2019,229
"RO21",2019,479
"RO22",2019,167
"RO31",2019,63
"RO32",2019,1630
"RO41",2019,111
"RO42",2019,362
"SE11",2019,3510
"SE12",2019,2838
"SE21",2019,2074
"SE22",2019,1831
"SE23",2019,414
"SE31",2019,239
"SE32",2019,91
"SE33",2019,891
"SI03",2019,148
"SI04",2019,894
"SK01",2019,734
"SK02",2019,218
"SK03",2019,234
"SK04",2019,424
"UKC1",2019,915
"UKC2",2019,1883
"UKD1",2019,61
"UKD3",2019,3995
"UKD4",2019,1088
"UKD6",2019,277
"UKD7",2019,1791
"UKE1",2019,363
"UKE2",2019,1446
"UKE3",2019,2171
"UKE4",2019,2906
"UKF1",2019,2824
"UKF2",2019,27
"UKF3",2019,380
"UKG1",2019,3665
"UKG2",2019,457
"UKG3",2019,2282
"UKH1",2019,6077
"UKH2",2019,453
"UKH3",2019,611
"UKI0",2019,17652
"UKJ1",2019,6338
"UKJ2",2019,2129
"UKJ3",2019,2086
"UKJ4",2019,817
"UKK1",2019,2080
"UKK2",2019,957
"UKK3",2019,154
"UKK4",2019,1421
"UKL1",2019,1287
"UKL2",2019,1636
"UKM5",2019,860
"UKM6",2019,41
"UKM7",2019,4691
"UKM8",2019,2723
"UKM9",2019,24
"UKN0",2019,1083
"AT11",2019,21
"AT12",2020,338
"AT13",2020,3287
"AT21",2020,120
"AT22",2020,954
"AT31",2020,350
"AT32",2020,267
"AT33",2020,630
"AT34",2020,20
"BE10",2020,2005
"BE21",2020,938
"BE22",2020,254
"BE23",2020,1755
"BE24",2020,2283
"BE25",2020,99
"BE31",2020,478
"BE32",2020,120
"BE33",2020,426
"BE34",2020,5
"BE35",2020,141
"BG31",2020,42
"BG32",2020,110
"BG33",2020,212
"BG34",2020,54
"BG41",2020,1091
"BG42",2020,240
"CH01",2020,4035
"CH02",2020,1400
"CH03",2020,1255
"CH04",2020,3110
"CH05",2020,229
"CH06",2020,176
"CH07",2020,208
"CY00",2020,863
"CZ01",2020,3637
"CZ02",2020,110
"CZ03",2020,428
"CZ04",2020,53
"CZ05",2020,426
"CZ06",2020,1345
"CZ07",2020,870
"CZ08",2020,272
"DE11",2020,875
"DE12",2020,2319
"DE13",2020,922
"DE14",2020,1014
"DE21",2020,3022
"DE22",2020,56
"DE23",2020,250
"DE24",2020,342
"DE25",2020,737
"DE26",2020,377
"DE27",2020,147
"DE30",2020,3368
"DE40",2020,947
"DE50",2020,776
"DE60",2020,1338
"DE71",2020,1420
"DE72",2020,545
"DE73",2020,180
"DE80",2020,422
"DE91",2020,1365
"DE92",2020,800
"DE93",2020,0
"DE94",2020,419
"DEA1",2020,986
"DEA2",2020,2959
"DEA3",2020,344
"DEA4",2020,392
"DEA5",2020,1071
"DEB1",2020,38
"DEB2",2020,124
"DEB3",2020,834
"DEC0",2020,325
"DED2",2020,1008
"DED4",2020,244
"DED5",2020,712
"DEE0",2020,574
"DEF0",2020,997
"DEG0",2020,698
"DK01",2020,4838
"DK02",2020,423
"DK03",2020,1049
"DK04",2020,1618
"DK05",2020,584
"EE00",2020,811
"EL30",2020,1876
"EL41",2020,114
"EL42",2020,0
"EL43",2020,375
"EL51",2020,155
"EL52",2020,1121
"EL53",2020,60
"EL54",2020,152
"EL61",2020,224
"EL62",2020,35
"EL63",2020,467
"EL64",2020,30
"EL65",2020,44
"ES11",2020,2538
"ES12",2020,845
"ES13",2020,470
"ES21",2020,2165
"ES22",2020,761
"ES23",2020,467
"ES24",2020,1154
"ES30",2020,11257
"ES41",2020,2818
"ES42",2020,885
"ES43",2020,608
"ES51",2020,11091
"ES52",2020,4546
"ES53",2020,415
"ES61",2020,8032
"ES62",2020,1123
"ES63",2020,14
"ES64",2020,12
"ES70",2020,925
"FI19",2020,1623
"FI1B",2020,2837
"FI1C",2020,1003
"FI1D",2020,1142
"FI20",2020,0
"FR10",2020,9692
"FRB0",2020,460
"FRC1",2020,262
"FRC2",2020,226
"FRD1",2020,231
"FRD2",2020,268
"FRE1",2020,1060
"FRE2",2020,236
"FRF1",2020,925
"FRF2",2020,187
"FRF3",2020,654
"FRG0",2020,825
"FRH0",2020,1136
"FRI1",2020,1041
"FRI2",2020,143
"FRI3",2020,300
"FRJ1",2020,1327
"FRJ2",2020,1479
"FRK1",2020,339
"FRK2",2020,3176
"FRL0",2020,1710
"FRM0",2020,33
"FRY1",2020,0
"FRY2",2020,0
"FRY3",2020,0
"FRY4",2020,0
"FRY5",2020,0
"HR02",2020,173
"HR03",2020,740
"HR05",2020,1358
"HR06",2020,46
"HU11",2020,1810
"HU12",2020,429
"HU21",2020,60
"HU22",2020,74
"HU23",2020,234
"HU31",2020,90
"HU32",2020,295
"HU33",2020,387
"IE04",2020,661
"IE05",2020,1236
"IE06",2020,3246
"IS00",2020,436
"ITC1",2020,1978
"ITC2",2020,15
"ITC3",2020,802
"ITC4",2020,5882
"ITF1",2020,492
"ITF2",2020,99
"ITF3",2020,2055
"ITF4",2020,954
"ITF5",2020,105
"ITF6",2020,370
"ITG1",2020,1321
"ITG2",2020,549
"ITH1",2020,407
"ITH2",2020,285
"ITH3",2020,2519
"ITH4",2020,897
"ITH5",2020,2846
"ITI1",2020,3220
"ITI2",2020,3
"ITI3",2020,551
"ITI4",2020,4853
"LT01",2020,615
"LT02",2020,505
"LU00",2020,547
"LV00",2020,778
"MT00",2020,194
"NL11",2020,1295
"NL12",2020,49
"NL13",2020,22
"NL21",2020,716
"NL22",2020,1924
"NL23",2020,22
"NL31",2020,1743
"NL32",2020,2798
"NL33",2020,3723
"NL34",2020,24
"NL41",2020,1258
"NL42",2020,847
"NO02",2020,73
"NO06",2020,979
"NO07",2020,460
"NO08",2020,1908
"NO09",2020,162
"NO0A",2020,1050
"NO0B",2020,19
"PL21",2020,3867
"PL22",2020,2078
"PL41",2020,2100
"PL42",2020,661
"PL43",2020,146
"PL51",2020,2218
"PL52",2020,323
"PL61",2020,824
"PL62",2020,472
"PL63",2020,1598
"PL71",2020,1492
"PL72",2020,203
"PL81",2020,1405
"PL82",2020,385
"PL84",2020,506
"PL91",2020,5783
"PL92",2020,206
"PT11",2020,7144
"PT15",2020,410
"PT16",2020,12037
"PT17",2020,846
"PT18",2020,478
"PT20",2020,207
"PT30",2020,192
"RO11",2020,834
"RO12",2020,220
"RO21",2020,461
"RO22",2020,153
"RO31",2020,56
"RO32",2020,1482
"RO41",2020,104
"RO42",2020,344
"SE11",2020,3170
"SE12",2020,2587
"SE21",2020,1854
"SE22",2020,1643
"SE23",2020,387
"SE31",2020,221
"SE32",2020,85
"SE33",2020,806
"SI03",2020,137
"SI04",2020,824
"SK01",2020,679
"SK02",2020,211
"SK03",2020,226
"SK04",2020,402
"UKC1",2020,799
"UKC2",2020,1631
"UKD1",2020,54
"UKD3",2020,3482
"UKD4",2020,959
"UKD6",2020,237
"UKD7",2020,1547
"UKE1",2020,318
"UKE2",2020,1247
"UKE3",2020,1871
"UKE4",2020,2546
"UKF1",2020,2424
"UKF2",2020,20
"UKF3",2020,326
"UKG1",2020,3148
"UKG2",2020,389
"UKG3",2020,2027
"UKH1",2020,5297
"UKH2",2020,402
"UKH3",2020,560
"UKI0",2020,15273
"UKJ1",2020,5568
"UKJ2",2020,1862
"UKJ3",2020,1808
"UKJ4",2020,700
"UKK1",2020,1832
"UKK2",2020,839
"UKK3",2020,138
"UKK4",2020,1210
"UKL1",2020,1105
"UKL2",2020,1419
"UKM5",2020,745
"UKM6",2020,35
"UKM7",2020,4120
"UKM8",2020,2397
"UKM9",2020,22
"UKN0",2020,939
"AT11",2020,19
