nuts2;year;flow_in;flow_out;gdp;score;ted;edu_index
BE33;2014;129;144;32324.41269;0.004;19.77566299;0.861
BE33;2015;14;17;32715.23505;0.004;19.53226565;0.87
BE33;2016;218;168;34401.84367;0.004;19.55724829;0.872
BE33;2017;243;271;35864.32535;0.004;19.66482543;0.871
BE33;2018;24;26;37283.06803;0.004;19.77271737;0.886
BE33;2019;253;224;38490.68483;0.004;20.39834546;0.894
BE33;2020;54;61;37256.36293;0.004;19.71703296;0.903018717
BE34;2009;0;0;24813.54054;0;17.56674329;0.847
BE34;2010;0;0;25961.85927;0;18.0115911;0.847
BE34;2011;1;6;26774.63083;0;18.07625803;0.849
BE34;2012;0;0;26249.43852;0;18.77340135;0.858
BE34;2013;0;0;27046.31838;0;17.29997305;0.86
BE34;2014;1;0;28205.85818;0;18.0886839;0.881
BE34;2015;0;0;28719.48115;0;17.75371814;0.89
BE34;2016;1;1;29797.87946;0;18.20471157;0.889
BE34;2017;0;1;30962.00749;0;17.60076313;0.89
BE34;2018;0;1;32199.0133;0;17.47829982;0.899
BE34;2019;1;50;33141.13202;0;18.46917523;0.905
BE34;2020;0;1;32029.75086;0;17.1993425;0.919416438
BE35;2009;1;45;26342.33687;0;21.02339785;0.868
BE35;2010;10;16;27995.73765;0;19.21668518;0.868
BE35;2011;5;0;28575.61497;0;19.11373553;0.87
BE35;2012;1;3;29409.09315;0;19.4173041;0.874
BE35;2013;2;3;30396.09176;0;20.03941565;0.876
BE35;2014;9;8;31076.36587;0;18.77135443;0.883
BE35;2015;25;12;31466.56195;0;19.67749875;0.889
BE35;2016;104;92;32995.07683;0;18.8042591;0.891
BE35;2017;77;58;34187.21661;0;19.24621977;0.901
BE35;2018;19;22;35588.38312;0;19.64836894;0.898
BE35;2019;16;15;36142.10067;0;20.73707608;0.897
BE35;2020;17;20;35380.14321;0;20.16903678;0.903891142
BG31;2009;0;1;8971.750923;0;18.21321462;0.692
BG31;2010;1;0;9091.198088;0;17.17811705;0.701
BG31;2011;14;0;10123.12632;0;17.66720724;0.705
BG31;2012;4;0;10134.54162;0;18.36514521;0.708
BG31;2013;1;8;10332.62466;0;19.28236175;0.72
BG31;2014;2;4;11157.37835;0;18.33471955;0.727
BG31;2015;20;1;11207.5808;0;18.20849131;0.732
BG31;2016;0;9;12398.86656;0;18.15019482;0.725
BG31;2017;4;1;13346.1823;0;18.62184145;0.722
BG31;2018;33;67;15248.16005;0;19.02885402;0.719
BG31;2019;2;2;15032.63491;0;18.95073187;0.715
BG31;2020;3;20;16190.19756;0;18.70655661;0.732068885
BG32;2009;3;1;9550.573563;0;17.88653514;0.761
BG32;2010;0;2;9677.726997;0;16.64299047;0.767
BG32;2011;3;10;10685.52222;0;17.63429421;0.774
BG32;2012;2;0;11260.6018;0;18.2721989;0.779
BG32;2013;3;3;11767.71142;0;19.02366428;0.793
BG32;2014;33;23;12625.45444;0;18.83877985;0.799
BG32;2015;2;4;12644.45014;0;18.5231233;0.807
BG32;2016;24;7;13874.92211;0;18.37098168;0.795
BG32;2017;1;4;14796.85429;0;18.56260706;0.783
BG32;2018;5;3;15823.56232;0;18.57438415;0.773
BG32;2019;3;3;16424.54555;0;18.77307643;0.77
BG32;2020;2;6;16748.48024;0;19.21068879;0.781925201
BG33;2009;7;4;11865.86412;0;18.00409579;0.748
BG33;2010;0;1;12023.84263;0;18.40747823;0.757
BG33;2011;18;1;12935.10585;0;18.90041372;0.763
BG33;2012;26;0;13512.72216;0;19.2163445;0.766
BG33;2013;4;2;13776.83288;0;19.04721264;0.783
BG33;2014;70;39;14680.76098;0;19.22785843;0.787
BG33;2015;9;29;15230.81494;0;19.55995038;0.786
BG33;2016;15;16;16236.61098;0;19.08695553;0.775
BG33;2017;8;4;17117.92947;0;19.57513843;0.767
BG33;2018;69;16;18412.87251;0;19.16315705;0.757
