"sender","receiver","year","ted_send","score_send","gdp_send","edu_send","r3score_send","ted_rec","score_rec","gdp_rec","edu_rec","r3score_rec","dist","count"
"NL","AT",2015,22.7257663768372,0.192,50288.5913949377,0.935,0.576899828122963,22.4773284548461,0.024,49865.9039424185,0.916,0.288449914061482,799029.8572,10
"NL","AT",2016,22.8132828360285,0.16,52288.4150841353,0.936,0.542883523318981,22.0688164943146,0.024,52684.0171130768,0.918,0.288449914061482,799029.8572,8
"NL","AT",2017,23.094422140359,0.124,55088.6338006744,0.939,0.498663095223865,22.2912589237933,0.024,54172.9867888254,0.92,0.288449914061482,799029.8572,9
"NL","AT",2018,23.2525022340684,0.124,57826.6284976675,0.941,0.498663095223865,22.7646133252742,0.028,56960.0914258929,0.921,0.303658897187566,799029.8572,5
"NL","AT",2019,27.7350226043696,0.136,59004.3249664016,0.944,0.514256318131647,22.9999918606986,0.028,58076.348801448,0.921,0.303658897187566,799029.8572,11
"NL","AT",2020,23.4997897211768,0.144,59266.9085805339,0.948729755766629,0.524148278841779,23.5550276805035,0.028,55685.9702933361,0.925968142125103,0.303658897187566,799029.8572,16
"NL","BE",2009,21.2172404897985,0.164,44556.9211528341,0.912,0.547370367479843,22.6367305387651,0.064,37749.5095365743,0.908,0.4,193398.1201,3
"NL","BE",2010,21.7359930493682,0.144,45043.9042332404,0.917,0.524148278841779,22.2660970175909,0.068,39840.0881958103,0.909,0.408165510191735,193398.1201,3
"NL","BE",2011,21.8257423934517,0.136,46599.02103045,0.928,0.514256318131647,22.2152899122287,0.064,40942.372710454,0.911,0.4,193398.1201,8
"NL","BE",2012,22.0314315452667,0.148,47272.1030187972,0.929,0.528957247269421,22.3247946050526,0.068,42290.7620520019,0.913,0.408165510191735,193398.1201,8
"NL","BE",2013,21.8296057754383,0.172,49241.5178406305,0.93,0.556129776652124,22.6471566254373,0.068,43671.11959259,0.916,0.408165510191735,193398.1201,19
"NL","BE",2014,22.2636965801563,0.192,49233.2153954401,0.932,0.576899828122963,22.4249910950235,0.064,44929.685593416,0.919,0.4,193398.1201,13
"NL","BE",2015,22.7257663768372,0.192,50288.5913949377,0.935,0.576899828122963,22.5401425744303,0.064,46200.904454307,0.922,0.4,193398.1201,23
"NL","BE",2016,22.8132828360285,0.16,52288.4150841353,0.936,0.542883523318981,22.7992131287358,0.064,48597.3999826201,0.924,0.4,193398.1201,25
"NL","BE",2017,23.094422140359,0.124,55088.6338006744,0.939,0.498663095223865,22.519079254567,0.064,50442.2705419624,0.928,0.4,193398.1201,53
"NL","BE",2018,23.2525022340684,0.124,57826.6284976675,0.941,0.498663095223865,22.7435321646563,0.064,52535.23221854,0.93,0.4,193398.1201,55
"NL","BE",2019,27.7350226043696,0.136,59004.3249664016,0.944,0.514256318131647,22.7081117753593,0.064,54278.3894505636,0.932,0.4,193398.1201,67
"NL","BE",2020,23.4997897211768,0.144,59266.9085805339,0.948729755766629,0.524148278841779,22.8999715152947,0.06,53070.2148197652,0.934900362059728,0.391486764116886,193398.1201,65
